NAICS  Code,Kind of Business,Jan. 2017,Feb. 2017,Mar. 2017,Apr. 2017,May 2017,Jun. 2017,Jul. 2017,Aug. 2017,Sep. 2017,Oct. 2017,Nov. 2017,Dec. 2017,TOTAL,
,NOT ADJUSTED,,,,,,,,,,,,,,
,"Retail and food services sales, total","422,066","418,520","483,667","466,647","495,849","483,003","476,520","491,564","470,724","477,120","499,276","559,854","5,744,810",
,Retail sales and food services excl motor vehicle and parts,"337,831","330,086","378,484","370,315","391,280","381,429","375,379","387,947","371,946","380,941","405,752","461,053","4,572,443",
,Retail sales and food services excl gasoline stations,"387,322","385,458","445,893","428,539","455,987","443,933","437,733","451,416","430,543","436,672","460,496","521,355","5,285,347",
,Retail sales and food services excl motor vehicle and parts and gasoline stations,"303,087","297,024","340,710","332,207","351,418","342,359","336,592","347,799","331,765","340,493","366,972","422,554","4,112,980",
,"Retail sales, total","369,241","365,865","423,634","408,175","435,790","424,415","418,069","433,057","413,638","418,956","443,586","498,725","5,053,151",
,"Retail sales, total (excl. motor vehicle and parts dealers)","285,006","277,431","318,451","311,843","331,221","322,841","316,928","329,440","314,860","322,777","350,062","399,924","3,880,784",
,GAFO(1),"89,292","89,940","102,933","100,385","103,937","102,889","102,344","108,444","100,469","102,840","119,088","149,902","1,272,463",
441,Motor vehicle and parts dealers,"84,235","88,434","105,183","96,332","104,569","101,574","101,141","103,617","98,778","96,179","93,524","98,801","1,172,367",
"4411,4412",Automobile and other motor vehicle dealers,"77,407","81,691","97,051","88,867","96,665","93,660","93,470","95,597","91,196","88,478","86,006","91,638","1,081,726",
4411,Automobile dealers,"73,743","76,778","90,030","81,286","88,544","85,345","86,294","88,857","85,364","83,311","81,569","87,067","1,008,188",
44111,New car dealers,"65,246","67,180","79,075","72,049","78,818","75,567","76,767","79,225","76,099","74,172","72,975","78,841","896,014",
44112,Used car dealers,"8,497","9,598","10,955","9,237","9,726","9,778","9,527","9,632","9,265","9,139","8,594","8,226","112,174",
4413,"Automotive parts, acc., and tire stores","6,828","6,743","8,132","7,465","7,904","7,914","7,671","8,020","7,582","7,701","7,518","7,163","90,641",
"442,443","Furniture, home furn, electronics, and appliance stores","15,732","15,367","17,594","15,661","17,008","17,029","16,742","17,795","17,251","17,086","20,873","23,467","211,605",
442,Furniture and home furnishings stores,"8,255","8,222","9,626","8,562","9,394","9,334","9,207","9,825","9,471","9,441","10,487","11,211","113,035",
4421,Furniture stores,"4,518","4,625","5,319","4,612","4,992","4,937","4,956","5,078","5,041","4,909","5,312","5,255","59,554",
4422,Home furnishings stores,"3,737","3,597","4,307","3,950","4,402","4,397","4,251","4,747","4,430","4,532","5,175","5,956","53,481",
44221,Floor covering stores,"1,407","1,455",(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),,
442299,All other home furnishings stores,"2,179","1,979","2,316","2,117","2,401","2,308","2,317","2,560","2,294","2,330","3,032","3,982","29,815",
443,Electronics and appliance stores,"7,477","7,145","7,968","7,099","7,614","7,695","7,535","7,970","7,780","7,645","10,386","12,256","98,570",
443141,Household appliance stores,"1,270","1,258","1,456","1,317","1,416","1,411","1,361","1,353","1,351","1,326","1,474","1,398","16,391",
443142,Electronics stores,"6,207","5,887","6,512","5,782","6,198","6,284","6,174","6,617","6,429","6,319","8,912","10,858","82,179",
444,Building mat. and garden equip. and supplies dealers,"23,330","23,486","30,536","32,663","37,261","35,011","31,485","31,789","30,404","31,151","30,562","27,944","365,622",
4441,Building mat. and supplies dealers,"21,078","20,814","26,299","27,069","31,058","30,153","27,719","28,328","27,273","27,833","27,146","24,463","319,233",
44412,Paint and wallpaper stores,759,786,996,953,"1,103","1,138","1,066","1,147","1,039","1,063",918,809,"11,777",
44413,Hardware stores,"1,714","1,630","2,044","2,121","2,345","2,298","2,109","2,161","2,078","2,178","2,075","2,147","24,900",
445,Food and beverage stores,"57,469","54,181","59,912","59,282","61,805","60,257","61,323","61,122","60,001","60,471","61,783","67,531","725,137",
4451,Grocery stores,"52,120","48,805","53,915","53,191","55,250","53,743","54,704","54,629","53,701","54,116","54,992","58,647","647,813",
44511,Supermarkets and other grocery (except convenience) stores,"50,068","46,798","51,644","50,828","52,768","51,328","52,228","52,178","51,236","51,650","52,636","56,274","619,636",
4453,"Beer, wine, and liquor stores","3,740","3,774","4,266","4,273","4,673","4,703","4,828","4,677","4,568","4,567","4,879","6,284","55,232",
446,Health and personal care stores,"26,468","25,452","28,325","26,598","28,205","27,657","26,745","28,427","27,321","28,558","28,162","31,420","333,338",
44611,Pharmacies and drug stores,"22,379","21,234","23,348","22,294","23,737","23,055","22,295","23,540","22,628","24,105","23,359","25,422","277,396",
447,Gasoline stations,"34,744","33,062","37,774","38,108","39,862","39,070","38,787","40,148","40,181","40,448","38,780","38,499","459,463",
448,Clothing and clothing access. stores,"15,791","17,900","21,217","21,052","21,831","20,527","20,727","22,715","19,873","20,455","24,588","33,890","260,566",
4481,Clothing stores,"11,769","12,632","15,734","15,651","15,944","15,353","15,350","16,359","14,710","15,372","18,444","23,478","190,796",
44811,Men's clothing stores,559,578,715,746,781,717,614,640,676,662,699,911,"8,298",
44812,Women's clothing stores,"2,454","2,763","3,485","3,624","3,616","3,341","3,199","3,293","3,122","3,299","3,774","4,690","40,660",
44814,Family clothing stores,"6,065","6,585","8,428","8,497","8,682","8,445","8,770","9,186","8,133","8,686","10,709","13,729","105,915",
44819,Other clothing stores,"1,470","1,414","1,546","1,349","1,452","1,468","1,363","1,554","1,346","1,285","1,501","1,805","17,553",
4482,Shoe stores,"2,099","2,620","3,166","3,013","2,861","2,713","2,923","3,856","2,714","2,613","3,044","4,104","35,726",
44831,Jewelry stores,"1,754","2,452","2,117","2,188","2,767","2,255","2,222","2,283","2,236","2,253","2,837","5,889","31,253",
451,"Sporting goods, hobby, musical instrument, and book stores","6,242","5,570","6,647","6,359","6,576","6,736","6,527","7,667","6,758","6,390","7,820","10,896","84,188",
45111,Sporting goods stores,"2,900","2,973","3,709","3,576","3,730","4,031","3,842","4,146","3,507","3,341","3,927","5,429","45,111",
45112,"Hobby, toy, and game stores","1,178","1,177","1,350","1,274","1,243","1,174","1,189","1,238","1,343","1,439","2,229","3,241","18,075",
451211,Book stores,"1,386",676,695,717,771,689,651,"1,378",980,655,663,"1,114","10,375",
452,General merchandise stores,"49,392","49,111","55,259","55,185","56,165","56,308","55,982","57,478","54,177","56,132","63,478","78,456","687,123",
4521,Department stores,"9,232","9,765","11,453","11,291","11,664","11,405","11,153","11,969","10,745","11,030","14,719","20,241","144,667",
452111,Department stores(excl. discount department stores),"2,956","3,393","3,914","3,936","4,137","3,806","3,651","3,745","3,690","3,719","5,087","8,231","50,265",
452112,Discount dept. stores,"6,276","6,372","7,539","7,355","7,527","7,599","7,502","8,224","7,055","7,311","9,632","12,010","94,402",
4529,Other general merchandise stores,"40,160",39346,43806,"43,894","44,501","44,903","44,829","45,509","43,432","45,102","48,759","58,215","542,456",
45291,Warehouse clubs and superstores,"34,732","33,791","37,502","37,585","38,031","38,441","38,578","39,165","37,270","38,689","41,814","49,724","465,322",
45299,All other gen. merchandise stores,"5,428","5,555","6,304","6,309","6,470","6,462","6,251","6,344","6,162","6,413","6,945","8,491","77,134",
453,Miscellaneous store retailers,"8,748","8,929","10,038","9,813","11,292","10,635","10,392","10,904","10,340","10,806","10,846","11,795","124,538",
4532,"Office supplies, stationery, and gift stores","2,135","1,992","2,216","2,128","2,357","2,289","2,366","2,789","2,410","2,777","2,329","3,193","28,981",
45321,Office supplies and stationery stores,"1,186",971,"1,060",924,965,902,933,"1,403","1,087",953,931,"1,030","12,345",
45322,"Gift, novelty, and souvenir stores",949,"1,021","1,156","1,204","1,392","1,387","1,433","1,386","1,323","1,824","1,398","2,163","16,636",
45330,Used merchandise stores,"1,338","1,366","1,562","1,449","1,523","1,454","1,517","1,600","1,566","1,719","1,631","1,647","18,372",
454,Nonstore retailers,"47,090","44,373","51,149","47,122","51,216","49,611","48,218","51,395","48,554","51,280","63,170","76,026","629,204",
4541,Electronic shopping and mail-order houses,"39,971","37,782","43,957","41,295","44,958","43,718","42,851","45,435","42,636","44,850","55,947","67,898","551,298",
45431,Fuel dealers,"3,357","2,869","2,863","1,806","1,623","1,385","1,250","1,450","1,577","2,009","2,761","3,777","26,727",
722,Food services and drinking places,"52,825","52,655","60,033","58,472","60,059","58,588","58,451","58,507","57,086","58,164","55,690","61,129","691,659",
7224,Drinking places,"2,079","2,059","2,400","2,236","2,304","2,217","2,282","2,228","2,289","2,337","2,198","2,369","26,998",
7225,Restaurants and other eating places,"46,310","45,767","52,336","50,738","52,376","51,553","51,746","51,505","48,963","49,932","48,090","53,549","602,865",
722511,Full service restaurants,"23,142","23,046","26,041","25,106","25,529","24,857","24,749","24,531","23,437","23,840","23,307","27,250","294,835",
"722513, 722514, 722515",Limited service eating places,"23,168","22,721","26,295","25,632","26,847","26,696","26,997","26,974","25,526","26,092","24,783","26,299","308,030",
,ADJUSTED(2),,,,,,,,,,,,,,
,"Retail and food services sales, total","473,832","473,582","472,693","475,335","473,242","474,798","475,045","475,653","486,056","486,635","490,648","492,996",,
,Retail sales and food services excl motor vehicle and parts,"375,507","375,956","377,067","378,866","376,450","377,167","377,345","380,334","386,124","385,903","391,453","393,695",,
,Retail sales and food services excl gasoline stations,"435,228","434,640","434,148","436,997","436,435","438,555","438,964","438,375","446,778","447,365","450,252","452,040",,
,Retail sales and food services excl motor vehicle and parts and gasoline stations,"336,903","337,014","338,522","340,528","339,643","340,924","341,264","343,056","346,846","346,633","351,057","352,739",,
,"Retail sales, total","416,600","416,224","415,464","418,010","415,879","417,639","417,908","418,181","428,218","428,529","431,841","433,877",,
,"Retail sales, total (excl. motor vehicle and parts dealers)","318,275","318,598","319,838","321,541","319,087","320,008","320,208","322,862","328,286","327,797","332,646","334,576",,
,GAFO(1),"106,232","104,772","105,470","105,854","104,853","105,948","105,301","105,865","106,808","106,848","107,532","107,639",,
441,Motor vehicle and parts dealers,"98,325","97,626","95,626","96,469","96,792","97,631","97,700","95,319","99,932","100,732","99,195","99,301",,
"4411,4412",Automobile and other motor vehicle dealers,"90,747","90,167","88,068","88,867","89,257","90,144","90,135","87,865","92,304","93,233","91,593","91,455",,
4413,"Automotive parts, acc., and tire stores","7,578","7,459","7,558","7,602","7,535","7,487","7,565","7,454","7,628","7,499","7,602","7,846",,
"442,443","Furniture, home furn, electronics, and appliance stores","17,470","17,414","17,664","17,667","17,578","17,558","17,440","17,528","17,549","17,861","18,075","18,049",,
442,Furniture and home furnishings stores,"9,307","9,322","9,373","9,266","9,329","9,381","9,347","9,420","9,368","9,614","9,719","9,723",,
443,Electronics and appliance stores,"8,163","8,092","8,291","8,401","8,249","8,177","8,093","8,108","8,181","8,247","8,356","8,326",,
444,Building mat. and garden equip. and supplies dealers,"29,845","30,162","29,957","30,299","30,025","30,036","30,230","30,331","31,432","31,043","31,402","31,459",,
4441,Building mat. and supplies dealers,"26,348","26,414","26,116","26,306","26,099","26,174","26,249","26,425","27,604","27,234","27,559","27,517",,
445,Food and beverage stores,"59,238","59,516","60,006","60,144","60,303","60,109","60,188","60,458","61,090","61,331","61,455","61,804",,
4451,Grocery stores,"52,860","53,164","53,647","53,728","53,850","53,689","53,790","53,981","54,630","54,773","54,882","55,275",,
4453,"Beer, wine and liquor stores","4,522","4,498","4,519","4,585","4,599","4,593","4,589","4,626","4,633","4,713","4,709","4,686",,
446,Health and personal care stores,"26,898","27,221","27,367","27,563","27,598","27,796","27,859","28,118","28,224","28,359","28,446","28,383",,
44611,Pharmacies and drug stores,"22,334","22,589","22,779","22,936","23,023","23,264","23,128","23,353","23,522","23,632","23,643","23,648",,
447,Gasoline stations,"38,604","38,942","38,545","38,338","36,807","36,243","36,081","37,278","39,278","39,270","40,396","40,956",,
448,Clothing and clothing access. stores,"21,863","21,503","21,674","21,669","21,560","21,710","21,541","21,724","21,844","21,770","22,067","21,768",,
4481,Clothing stores,"16,068","15,815","15,878","15,899","15,820","15,931","15,758","15,870","15,887","15,873","16,094","15,975",,
44811,Men's clothing stores,718,706,744,690,715,714,696,680,681,669,658,664,,
44812,Women's clothing stores,"3,437","3,407","3,377","3,458","3,370","3,451","3,432","3,367","3,332","3,342","3,382","3,377",,
4482,Shoe stores,"3,016","2,931","3,038","3,025","2,953","2,972","2,897","2,998","3,006","2,949","2,976","2,961",,
44831,Jewelry stores,"2,579","2,538","2,544","2,532","2,550","2,580","2,642","2,615","2,710","2,698","2,733","2,595",,
451,"Sporting goods, hobby, musical instrument, and book stores","7,275","7,069","6,997","7,058","6,988","6,937","6,878","6,945","7,025","7,053","7,148","7,098",,
452,General merchandise stores,"57,145","56,370","56,706","57,032","56,302","57,341","57,044","57,284","58,008","57,763","57,828","58,295",,
4521,Department stores,"12,376","12,203","12,200","12,203","12,098","12,167","11,988","11,983","12,028","11,934","11,964","11,838",,
4529,Other general merchandise stores,"44,769","44,167","44,506","44,829","44,204","45,174","45,056","45,301","45,980","45,829","45,864","46,457",,
45291,Warehouse clubs and superstores,"38,420","37,925","38,151","38,391","37,879","38,751","38,578","38,854","39,439","39,358","39,373","39,875",,
45299,All other gen. merchandise stores,"6,349","6,242","6,355","6,438","6,325","6,423","6,478","6,447","6,541","6,471","6,491","6,582",,
453,Miscellaneous stores retailers,"10,207","10,396","10,303","10,382","10,152","10,154","10,403","10,362","10,469","10,510","10,674","10,749",,
454,Nonstore retailers,"49,730","50,005","50,619","51,389","51,774","52,124","52,544","52,834","53,367","52,837","55,155","56,015",,
4541,Electronic shopping and mail order houses,"43,494","43,780","44,311","45,131","45,321","45,730","46,176","46,268","46,699","46,333","48,313","48,988",,
45431,Fuel dealers,"2,056","2,057","2,141","2,147","2,232","2,157","2,115","2,200","2,256","2,153","2,446","2,654",,
722,Food services and drinking places,"57,232","57,358","57,229","57,325","57,363","57,159","57,137","57,472","57,838","58,106","58,807","59,119",,
 ,,,,,,,,,,,,,,,
